,ImageFileName,Red_Channel_Distribution,Green_Channel_Distribution,Blue_Channel_Distribution,Uninfected_Edge_Density,Uninfected_MeanBlobSize,Uninfected_MaxBlobSize,target,CNN_predictions
0,C100P61ThinF_IMG_20150918_144104_cell_128.png,146.592,108.2592,102.9936,0.1408,1.0,1.0,0,0.32597983
1,C100P61ThinF_IMG_20150918_144104_cell_131.png,155.7472,115.0592,110.232,0.1328,1.0,1.0,0,0.01604056
2,C100P61ThinF_IMG_20150918_144104_cell_144.png,158.4128,117.5648,112.1712,0.1344,0.0,0.0,0,0.03170393
3,C100P61ThinF_IMG_20150918_144104_cell_21.png,158.5968,118.3712,114.6064,0.128,0.0,0.0,0,0.009966721
4,C100P61ThinF_IMG_20150918_144104_cell_34.png,156.4768,116.3568,113.4704,0.1376,1.0,2.0,0,0.01686175
5,C100P61ThinF_IMG_20150918_144104_cell_48.png,138.2448,104.0304,97.824,0.1424,0.0,0.0,0,0.08048625
6,C100P61ThinF_IMG_20150918_144104_cell_65.png,164.0672,125.7168,118.7056,0.128,0.0,0.0,0,0.03245252
7,C100P61ThinF_IMG_20150918_144348_cell_125.png,151.5248,111.9728,109.7072,0.1328,0.0,0.0,0,0.02716848
8,C100P61ThinF_IMG_20150918_144348_cell_131.png,159.992,114.6464,109.7888,0.1392,1.0,2.0,0,0.012146987
9,C100P61ThinF_IMG_20150918_144348_cell_2.png,146.9552,105.0064,104.6528,0.144,1.0,2.0,0,0.0058136946
10,C100P61ThinF_IMG_20150918_144348_cell_25.png,160.576,121.3536,112.928,0.144,0.5,1.0,0,0.013816393
11,C100P61ThinF_IMG_20150918_144348_cell_40.png,145.04,105.2512,100.5936,0.1456,0.0,0.0,0,0.025643278
12,C100P61ThinF_IMG_20150918_144823_cell_126.png,161.1936,122.3344,116.2432,0.1456,1.0,1.0,0,0.06472182
13,C100P61ThinF_IMG_20150918_144823_cell_127.png,120.9936,90.0512,84.656,0.1632,1.0,2.0,0,0.19672924
14,C100P61ThinF_IMG_20150918_144823_cell_139.png,122.8048,92.8416,86.2336,0.1392,1.0,2.0,0,0.0002677515
15,C100P61ThinF_IMG_20150918_144823_cell_151.png,161.9136,121.1328,112.3472,0.136,0.0,0.0,0,0.0115682855
16,C100P61ThinF_IMG_20150918_144823_cell_21.png,123.8976,92.0576,87.1264,0.1488,1.3333333333333333,2.0,0,0.00089062034
17,C100P61ThinF_IMG_20150918_145042_cell_27.png,114.6592,87.7936,83.5296,0.144,0.0,0.0,0,0.0018564005
18,C100P61ThinF_IMG_20150918_145042_cell_59.png,159.4192,116.1952,110.392,0.1376,0.0,0.0,0,0.007915394
19,C100P61ThinF_IMG_20150918_145042_cell_7.png,153.0224,113.504,108.1184,0.144,1.0,1.0,0,0.16238736
20,C100P61ThinF_IMG_20150918_145042_cell_81.png,112.9792,80.3536,78.5168,0.1552,1.0,2.0,0,0.00036739284
21,C100P61ThinF_IMG_20150918_145042_cell_94.png,149.2208,110.3632,105.2528,0.1472,1.0,1.0,0,0.049964547
22,C100P61ThinF_IMG_20150918_145422_cell_12.png,151.6352,112.6576,106.4944,0.1408,0.0,0.0,0,0.06017164
23,C100P61ThinF_IMG_20150918_145422_cell_136.png,122.872,91.3392,85.9248,0.1472,0.0,0.0,0,0.0094198
24,C100P61ThinF_IMG_20150918_145422_cell_138.png,138.12,100.9776,96.3776,0.1664,1.5,2.0,0,0.011592969
25,C100P61ThinF_IMG_20150918_145422_cell_157.png,127.68,91.3168,87.6304,0.1472,1.3333333333333333,2.0,0,0.006448475
26,C100P61ThinF_IMG_20150918_145422_cell_21.png,152.0432,113.1616,108.1328,0.1328,0.0,0.0,0,0.023431918
27,C100P61ThinF_IMG_20150918_145422_cell_3.png,156.1856,116.6464,110.3792,0.1344,0.0,0.0,0,0.023364855
28,C100P61ThinF_IMG_20150918_145422_cell_37.png,116.1712,84.2896,81.616,0.152,1.3333333333333333,2.0,0,0.0033800078
29,C100P61ThinF_IMG_20150918_145422_cell_85.png,153.3968,111.8352,105.5184,0.1392,0.0,0.0,0,0.014933156
30,C100P61ThinF_IMG_20150918_145422_cell_86.png,156.0816,114.1168,108.6096,0.136,1.0,2.0,0,0.10676658
31,C100P61ThinF_IMG_20150918_145609_cell_101.png,146.296,107.176,103.192,0.144,1.3333333333333333,2.0,0,0.17803377
32,C100P61ThinF_IMG_20150918_145609_cell_30.png,153.5376,114.9248,112.2256,0.1344,0.5,1.0,0,0.00038702352
33,C100P61ThinF_IMG_20150918_145609_cell_46.png,111.0864,82.0944,78.656,0.16,1.3333333333333333,2.0,0,0.010359573
34,C100P61ThinF_IMG_20150918_145609_cell_48.png,138.3568,100.8288,97.0576,0.136,0.0,0.0,0,0.0036858507
35,C100P61ThinF_IMG_20150918_145609_cell_75.png,126.4336,92.7216,88.272,0.1472,0.0,0.0,0,0.06732906
36,C100P61ThinF_IMG_20150918_145609_cell_91.png,175.3056,132.6592,125.5824,0.1264,1.3333333333333333,2.0,0,0.012201377
37,C100P61ThinF_IMG_20150918_145609_cell_99.png,121.2816,91.6064,89.6736,0.1456,0.0,0.0,0,0.0043127523
38,C100P61ThinF_IMG_20150918_145938_cell_138.png,159.7632,116.8416,111.5888,0.1488,1.5,2.0,0,0.06715067
39,C100P61ThinF_IMG_20150918_145938_cell_145.png,117.8704,87.2928,83.904,0.1408,0.0,0.0,0,0.00490165
40,C100P61ThinF_IMG_20150918_145938_cell_154.png,147.576,105.048,103.6512,0.1392,1.3333333333333333,2.0,0,0.08478231
41,C100P61ThinF_IMG_20150918_145938_cell_63.png,152.7664,110.3184,105.4672,0.1408,1.3333333333333333,2.0,0,0.11424711
42,C100P61ThinF_IMG_20150918_145938_cell_64.png,125.6368,91.1728,87.9488,0.152,0.0,0.0,0,0.03797453
43,C100P61ThinF_IMG_20150918_145938_cell_67.png,112.696,81.7952,78.7168,0.1392,0.0,0.0,0,0.0001897357
44,C100P61ThinF_IMG_20150918_145938_cell_75.png,146.0336,109.8832,105.8592,0.1344,0.0,0.0,0,0.0024209782
45,C100P61ThinF_IMG_20150918_145938_cell_83.png,162.1104,121.4912,117.6288,0.1472,1.0,1.0,0,0.004516483
46,C100P61ThinF_IMG_20150918_150041_cell_108.png,132.1024,96.0192,91.928,0.152,1.3333333333333333,2.0,0,0.18932422
47,C100P61ThinF_IMG_20150918_150041_cell_125.png,141.3472,106.4752,99.48,0.1392,1.0,2.0,0,0.5070895
48,C100P61ThinF_IMG_20150918_150041_cell_127.png,145.3824,107.416,102.9536,0.1424,1.5,2.0,0,0.0031408456
49,C100P61ThinF_IMG_20150918_150041_cell_15.png,124.4336,90.7184,85.6464,0.1584,1.0,2.0,0,0.36851713
50,C100P61ThinF_IMG_20150918_150041_cell_4.png,164.5408,124.0832,119.448,0.1376,1.0,2.0,0,0.017862035
51,C100P61ThinF_IMG_20150918_150041_cell_47.png,154.864,113.3504,107.6016,0.1424,0.0,0.0,0,0.37159932
52,C100P61ThinF_IMG_20150918_150041_cell_76.png,135.4736,97.4736,93.3792,0.1616,1.6666666666666667,2.0,0,0.0009435923
53,C101P62ThinF_IMG_20150918_151006_cell_29.png,161.2384,113.6816,108.5888,0.1296,1.0,1.0,0,0.052027028
54,C101P62ThinF_IMG_20150918_151006_cell_32.png,143.3664,105.1008,98.608,0.1472,0.0,0.0,0,0.0012897379
55,C101P62ThinF_IMG_20150918_151006_cell_53.png,130.5072,99.0048,90.9152,0.1552,0.0,0.0,0,0.14976595
56,C101P62ThinF_IMG_20150918_151006_cell_56.png,142.0944,98.992,96.576,0.136,0.0,0.0,0,0.0010740192
57,C101P62ThinF_IMG_20150918_151006_cell_8.png,136.872,98.9888,92.5504,0.136,1.3333333333333333,2.0,0,0.12407643
58,C101P62ThinF_IMG_20150918_151149_cell_29.png,142.528,103.4096,98.7872,0.1456,0.5,1.0,0,0.0725465
59,C101P62ThinF_IMG_20150918_151149_cell_32.png,158.9024,117.4512,112.0784,0.1248,1.0,1.0,0,0.119118534
60,C101P62ThinF_IMG_20150918_151239_cell_14.png,130.704,92.9872,88.48,0.1376,1.0,2.0,0,0.5706282
61,C101P62ThinF_IMG_20150918_151239_cell_29.png,139.2256,104.4976,96.8848,0.1376,1.0,1.0,0,0.42055556
62,C101P62ThinF_IMG_20150918_151239_cell_41.png,142.0192,101.6912,95.448,0.1408,0.0,0.0,0,0.0114706885
63,C101P62ThinF_IMG_20150918_151239_cell_51.png,149.2736,109.1904,105.2976,0.1392,1.0,2.0,0,0.22135094
64,C101P62ThinF_IMG_20150918_151239_cell_59.png,124.2192,91.8032,88.7024,0.1552,1.3333333333333333,2.0,0,0.06537301
65,C101P62ThinF_IMG_20150918_151335_cell_13.png,160.5536,116.6784,111.2144,0.144,1.0,2.0,0,0.07369978
66,C101P62ThinF_IMG_20150918_151335_cell_16.png,158.88,114.6592,111.9568,0.1312,1.0,1.0,0,0.0023107755
67,C101P62ThinF_IMG_20150918_151335_cell_24.png,164.752,118.9296,113.936,0.1392,0.0,0.0,0,0.0047583133
68,C101P62ThinF_IMG_20150918_151335_cell_38.png,150.4304,108.7168,102.232,0.1392,1.0,1.0,0,0.048004717
69,C101P62ThinF_IMG_20150918_151335_cell_49.png,155.024,111.256,105.1712,0.144,1.3333333333333333,2.0,0,0.041528296
70,C101P62ThinF_IMG_20150918_151507_cell_10.png,144.288,104.1456,101.312,0.1376,0.0,0.0,0,0.00592716
71,C101P62ThinF_IMG_20150918_151507_cell_32.png,140.64,101.3952,99.6624,0.1392,1.0,1.0,0,0.02159933
72,C101P62ThinF_IMG_20150918_151507_cell_40.png,135.3952,100.3344,95.1616,0.1552,1.5,2.0,0,0.8339043
73,C101P62ThinF_IMG_20150918_151507_cell_48.png,159.5296,114.6576,111.0944,0.1344,1.0,1.0,0,0.021683274
