ImageFileName,target,CNN_predictions
C100P61ThinF_IMG_20150918_144104_cell_162.png,1,0.9999943
C100P61ThinF_IMG_20150918_144104_cell_164.png,1,0.9946312
C100P61ThinF_IMG_20150918_144104_cell_165.png,1,0.99999785
C100P61ThinF_IMG_20150918_144104_cell_167.png,1,0.99961317
C100P61ThinF_IMG_20150918_144104_cell_168.png,1,0.9772815
C100P61ThinF_IMG_20150918_144104_cell_170.png,1,0.9997031
C100P61ThinF_IMG_20150918_144348_cell_138.png,1,1.0
C100P61ThinF_IMG_20150918_144348_cell_139.png,1,1.0
C100P61ThinF_IMG_20150918_144348_cell_141.png,1,0.99998885
C100P61ThinF_IMG_20150918_144348_cell_142.png,1,0.9770062
C100P61ThinF_IMG_20150918_144823_cell_157.png,1,0.9998827
C100P61ThinF_IMG_20150918_144823_cell_158.png,1,0.99784225
C100P61ThinF_IMG_20150918_144823_cell_159.png,1,0.9998565
C100P61ThinF_IMG_20150918_144823_cell_160.png,1,0.9964985
C100P61ThinF_IMG_20150918_144823_cell_161.png,1,1.0
C100P61ThinF_IMG_20150918_144823_cell_162.png,1,0.79011035
C100P61ThinF_IMG_20150918_145042_cell_163.png,1,0.9993391
C100P61ThinF_IMG_20150918_145042_cell_164.png,1,0.9969333
C100P61ThinF_IMG_20150918_145422_cell_163.png,1,0.9999999
C100P61ThinF_IMG_20150918_145422_cell_164.png,1,0.9999922
C100P61ThinF_IMG_20150918_145422_cell_165.png,1,0.99999845
C100P61ThinF_IMG_20150918_145422_cell_167.png,1,0.9999957
C100P61ThinF_IMG_20150918_145422_cell_169.png,1,0.9999969
C100P61ThinF_IMG_20150918_145609_cell_144.png,1,0.92122304
C100P61ThinF_IMG_20150918_145609_cell_145.png,1,0.9986505
C100P61ThinF_IMG_20150918_145609_cell_146.png,1,0.9999756
C100P61ThinF_IMG_20150918_145609_cell_148.png,1,0.9999998
C100P61ThinF_IMG_20150918_145609_cell_149.png,1,0.994533
C100P61ThinF_IMG_20150918_145609_cell_151.png,1,0.96813506
C100P61ThinF_IMG_20150918_145938_cell_168.png,1,0.99582064
C100P61ThinF_IMG_20150918_145938_cell_169.png,1,0.99889874
C100P61ThinF_IMG_20150918_145938_cell_170.png,1,0.97911364
C100P61ThinF_IMG_20150918_145938_cell_171.png,1,0.9894677
C100P61ThinF_IMG_20150918_145938_cell_173.png,1,0.99768656
C100P61ThinF_IMG_20150918_145938_cell_175.png,1,0.99999934
C100P61ThinF_IMG_20150918_150041_cell_146.png,1,0.9989404
C100P61ThinF_IMG_20150918_150041_cell_147.png,1,0.9946358
C100P61ThinF_IMG_20150918_150041_cell_148.png,1,0.98275393
C100P61ThinF_IMG_20150918_150041_cell_149.png,1,0.87057847
C101P62ThinF_IMG_20150918_151006_cell_61.png,1,0.99999994
C101P62ThinF_IMG_20150918_151006_cell_62.png,1,0.99992895
C101P62ThinF_IMG_20150918_151006_cell_63.png,1,0.99682283
C101P62ThinF_IMG_20150918_151006_cell_64.png,1,0.9999992
C101P62ThinF_IMG_20150918_151006_cell_65.png,1,1.0
C101P62ThinF_IMG_20150918_151006_cell_67.png,1,0.9999999
C101P62ThinF_IMG_20150918_151006_cell_68.png,1,0.9999662
C101P62ThinF_IMG_20150918_151006_cell_69.png,1,0.9999998
C101P62ThinF_IMG_20150918_151006_cell_70.png,1,0.9999652
C101P62ThinF_IMG_20150918_151006_cell_72.png,1,0.98561454
C101P62ThinF_IMG_20150918_151006_cell_74.png,1,1.0
C101P62ThinF_IMG_20150918_151006_cell_75.png,1,0.9999253
C101P62ThinF_IMG_20150918_151006_cell_77.png,1,0.99993414
C101P62ThinF_IMG_20150918_151006_cell_78.png,1,1.0
C101P62ThinF_IMG_20150918_151006_cell_79.png,1,0.99999714
C101P62ThinF_IMG_20150918_151006_cell_81.png,1,0.9943525
C101P62ThinF_IMG_20150918_151006_cell_82.png,1,0.9997685
C101P62ThinF_IMG_20150918_151006_cell_83.png,1,0.9999996
C101P62ThinF_IMG_20150918_151006_cell_86.png,1,1.0
C101P62ThinF_IMG_20150918_151149_cell_69.png,1,0.9999933
C101P62ThinF_IMG_20150918_151149_cell_70.png,1,0.99449
C101P62ThinF_IMG_20150918_151149_cell_71.png,1,0.99998444
C101P62ThinF_IMG_20150918_151149_cell_72.png,1,0.9999948
C101P62ThinF_IMG_20150918_151149_cell_73.png,1,0.96322596
C101P62ThinF_IMG_20150918_151149_cell_76.png,1,0.9999879
C101P62ThinF_IMG_20150918_151149_cell_77.png,1,0.9999981
C101P62ThinF_IMG_20150918_151149_cell_78.png,1,0.9999999
C101P62ThinF_IMG_20150918_151149_cell_79.png,1,1.0
C101P62ThinF_IMG_20150918_151149_cell_80.png,1,0.9999994
C101P62ThinF_IMG_20150918_151149_cell_81.png,1,0.9999993
C101P62ThinF_IMG_20150918_151149_cell_84.png,1,0.99994266
C101P62ThinF_IMG_20150918_151149_cell_86.png,1,0.99418724
C101P62ThinF_IMG_20150918_151149_cell_87.png,1,0.99980736
C101P62ThinF_IMG_20150918_151149_cell_88.png,1,1.0
C101P62ThinF_IMG_20150918_151239_cell_100.png,1,1.0
C101P62ThinF_IMG_20150918_151239_cell_75.png,1,0.99896806
C101P62ThinF_IMG_20150918_151239_cell_76.png,1,1.0
C101P62ThinF_IMG_20150918_151239_cell_78.png,1,1.0
C101P62ThinF_IMG_20150918_151239_cell_79.png,1,0.99999505
C101P62ThinF_IMG_20150918_151239_cell_80.png,1,0.99978507
C101P62ThinF_IMG_20150918_151239_cell_81.png,1,0.9980138
C101P62ThinF_IMG_20150918_151239_cell_82.png,1,0.99931014
C101P62ThinF_IMG_20150918_151239_cell_83.png,1,0.99981177
C101P62ThinF_IMG_20150918_151239_cell_84.png,1,0.99928975
C101P62ThinF_IMG_20150918_151239_cell_85.png,1,0.9994224
C101P62ThinF_IMG_20150918_151239_cell_87.png,1,0.9999601
C101P62ThinF_IMG_20150918_151239_cell_89.png,1,1.0
C101P62ThinF_IMG_20150918_151239_cell_90.png,1,1.0
C101P62ThinF_IMG_20150918_151239_cell_94.png,1,1.0
C101P62ThinF_IMG_20150918_151239_cell_95.png,1,1.0
C101P62ThinF_IMG_20150918_151239_cell_98.png,1,0.9999999
C101P62ThinF_IMG_20150918_151335_cell_52.png,1,0.99928415
C101P62ThinF_IMG_20150918_151335_cell_56.png,1,0.9997785
C101P62ThinF_IMG_20150918_151335_cell_57.png,1,0.9759249
C101P62ThinF_IMG_20150918_151335_cell_58.png,1,0.99998444
C101P62ThinF_IMG_20150918_151335_cell_59.png,1,1.0
C101P62ThinF_IMG_20150918_151335_cell_61.png,1,0.9999951
C101P62ThinF_IMG_20150918_151335_cell_65.png,1,0.9999979
C101P62ThinF_IMG_20150918_151335_cell_66.png,1,0.99266654
C101P62ThinF_IMG_20150918_151335_cell_68.png,1,0.9999998
C101P62ThinF_IMG_20150918_151335_cell_69.png,1,0.999993
C101P62ThinF_IMG_20150918_151335_cell_71.png,1,0.96341324
C101P62ThinF_IMG_20150918_151335_cell_73.png,1,0.9999272
C101P62ThinF_IMG_20150918_151335_cell_74.png,1,0.9999889
C101P62ThinF_IMG_20150918_151335_cell_75.png,1,1.0
